id,name,category,price,stock,sku,brand,rating,reviews
86,Cable Organizer,Electronics,16.99,400,ELC-086,NeatCable,4.4,460
87,Vegetable Peeler,Kitchen,9.99,500,KIT-087,ChopRight,4.5,580
88,Yoga Strap,Sports,11.99,350,SPT-088,FlexFit,4.4,390
89,Doormat,Home,24.99,300,HOM-089,HomeStyle,4.2,215
90,Toner,Beauty,26.99,350,BTY-090,GlowUp,4.4,400
91,Drawing Tablet,Electronics,159.99,60,ELC-091,ArtBoard,4.6,195
92,Slow Cooker,Kitchen,69.99,75,KIT-092,SlowMaster,4.5,465
93,Pilates Ball,Sports,21.99,250,SPT-093,FlexFit,4.3,310
94,Bathroom Scale,Home,35.99,180,HOM-094,FitHome,4.4,395
95,Serum,Beauty,45.99,250,BTY-095,GlowUp,4.6,485
96,Ring Light,Electronics,39.99,130,ELC-096,BrightShot,4.5,540
97,Can Opener,Kitchen,12.99,400,KIT-097,KitchenPro,4.3,350
98,Swim Cap,Sports,8.99,500,SPT-098,AquaView,4.2,280
99,Aroma Diffuser,Home,44.99,160,HOM-099,AromaLux,4.5,330
100,Sunscreen SPF 30,Beauty,16.99,550,BTY-100,SkinGuard,4.4,610
